booklet_id,basket_ids
100125,"7339,7646,24885,7682,7691,7731,24906,24886,24910,7619,5420,7644,24893,24884,5418,7732,24905,7643,24907,12974,8215"
100173,"8623,11296,8584,8725,8666,15847,8849,8636,8852,11323,8901,8855,8917,11324,11297,20420,11316,8691,11295,8469,8461,8686,8476,20262,20251,8481,8446"
100196,"12918,12921,13524,13531,12917,12970,12915,13526,12922,12943,12919,13532,13530,12914,12947,12916,13528,12948,12925,12931,12927,12944,12910,12923,12950,12937,12945,12939,12971,13527"
100203,"12114,12183,12129,12105,12094,12093,12092,12239,12121,12249,12166,12138,12116,12167,12111,12244,12185,12095,12097,12154,12142,12101,12232,12113,12104,12247,12090,12110,12151,12148"
100216,"3006,2942,2961,3003,2974,3011,2962,2958,2987,2964,3002,3018,2949,3017,2998,2989,2973,2997,3020,2937,2971,2946,2995,2991,2975,2959,3013,2948,2976,2925"
100042,"2668,2748,2849,2690,2851,12641,2681,2646,2854,2654,2665,2680,2857,2656,2666,2684,2817,3617,2757,2828,2692,2678,2667,2677,2664,2647,2829,2657,3593,2648"
100102,"6935,6880,16396,6868,6867,6927,6818,22435,16405,16411,6937,16404,16409,16407,6897,6886,16399,16395,6930,15035"
100130,"13541,13637,13545,13542,13819,13639,13543,13641,13544,13643,13640,13914,13642,13644,13645,13646,13818,13836,13838,13840,14123,14253,13837,14131,14250,13839,14259,14260,14128,13924"
100166,"23398,23091,23395,6991,7019,23080,23084,7017,23168,23089,7635,23120,6982,6984,7668,6994,6985,7683,23166,7020,7045,6977,7649,7689,7026,7028,7642,7693,11268,6996"
100206,"2343,2370,2382,2459,2475,2463,2627,2514,2476,2477,2535,2473,2531,2629,2360,2385,2484,2441,2621,2625,2632,2538,2472,2520,2623,2697,2523,2345,2351,2384"
100207,"2531,2629,2360,2385,2484,2441,2621,2625,2632,2538,2472,2520,2623,2697,2523,2345,2351,2384,2626,2527,2517,2349,2532,2356,2519,2509,8565,2419,2368,2624"
100208,"7181,7196,7183,7186,9133,7208,9136,9139,11202,9123,7185,7199,9135,9127,7194,7204,7213,9132,7956,7959,9134,7877,7958,9122,11212,9131,7201,11203"
100218,"2737,2781,2888,2883,2787,2722,2872,2886,2778,2882,2784,2877,2876,2742,2792,2731,2713,2892,2903,2897,2780,2873,2884"
100047,"4125,2121,4130,4132,4124,2148,2108,9156,2120,2159,2146,2129,9160,9162,2133,2109,3827,3816,9159,3819,2155"
100131,"13646,13818,13836,13838,13840,14123,14253,13837,14131,14250,13839,14259,14260,14128,13924,13919,13938,13817,13953,14129,14130,14690,13815,14254,14251,14689,14261,14681,1288,13945"
100179,"11581,11979,11989,11591,11613,11618,11574,11609,11599,11598,11605,11995,11592,11616,11991,11608,11584,11576,11607,11993,11611"
100190,"6731,6732,6730,25045,11232,11223,11216,7225,11214,6729,11231,11234,11230,11237,11249,6736,6737,11217,11245,11244,7231,11238,7230,8205,7233,11215,6739,11246,11233,7227"
100029,"874,769,842,876,836,797,802,853,1964,805,817,789,849,828,838,879,808,854,846,774,812,852,775,882,883,821,800,765,877,815"
100034,"4995,4992,4994,2575,2308,2307,2321,5775,2338,2334,2154,5779,2322,5774,2332,5772,2153,4993,5785,2320,2327,2331,24498,5778,5773,2581,2333,5777"
100055,"740,910,783,746,787,857,914,912,737,633,742,925,778,631,840,753,907,950,635,875,747,913,859,741,867,752,926,951,906,933"
100113,"479,6322,8675,8647,6371,24872,24870,11278,8540,6355,24871,8546,24869,11066,8921,6172,478,6166,8549,11348,8922,11356,6314,11279,507,8622,11069"
100155,"3315,3298,3311,3302,3316,3418,3442,3297,3300,3381,3309,3355,3305,3365,3378,3319,3299,3384,3393,3415,3329,3369,3447,3414,3306,3366,3410,3320"
100004,"5459,5466,5462,5381,5431,4673,4475,5427,5468,5432,4764,5469,4708,4706,5380,4472,4762,5429,4766,5384,5473,4687"
100012,"3883,3930,3908,3899,3919,3901,3889,3905,3904,3929,3911,3998,4887,24472,4377,24473,4086,3896,4861,3902,17881,4412,17316,18171,3974,18927,17929,3906,4378,18944"
100033,"2608,3494,3583,2640,11261,3584,2598,3587,2863,2592,2614,3492,2583,2595,2589,2586,2604,11260,2607,2835"
100054,"1459,1735,1433,1428,1489,1734,3668,1733,1719,1724,1740,1744,1476,1751,3669,1395,1729,1726,1746,1749,1748,1743,1399,1432,1440,1736,1782,1767,1488,1768"
100084,"4846,4921,4843,4841,4851,4855,4785,4924,4835,4382,4834,4945,4425,4876,4933,4866,4943,4429,4868,4932,4863,4947,4869,4948,4427,24828,4783,4922,4952,4839"
100103,"11707,8093,11699,11690,7245,9985,8089,8087,11701,7241,14986,8083,7246,11689,7238,11692,11705,9982,7240,9555,9980,9542,8080,7321,11706,10018,7327,7324,8095"
100117,"6517,6375,6922,6504,6862,6840,6524,6522,6854,6841,6383,6772,6844,6981,7063,6911,6352,6851,6932,6514,6444,6827,6934,6354,6845,24901,6794,6833"
100176,"7708,7759,7786,7804,7784,7881,7738,7799,7790,7880,7740,7801,7882,7785,7795,11858,7782,7798,7803,7896,7893,12582,7793,7897,7904,7797,7762"
100051,"2418,3499,2265,3508,3518,3522,2427,2424,2434,3514,2425,3498,3509,3507,2429,3527,2279,3511,3513,3515,3521,3506,3516,2267,3519,3523,2270,3510,2268,2284"
100088,"2222,2223,16445,2167,2188,16439,2157,21371,2234,2236,21375,21432,21084,16438,16442,2162,16441,21355,21082,21354,21425"
100101,"16406,22431,24864,6955,6870,6940,16403,6900,15034,22426,6869,22366,6935,6880,16396,6868,6867,6927,6818,22435,16405,16411,6937"
100148,"6247,6253,6254,6252,6264,6591,6260,6565,6599,6604,6606,6258,6265,6241,6278,6251,6561,6184,6567,6272,6269,6275,6578,6573,6270,6598,6576"
100172,"11288,11272,15842,15990,16020,15843,8724,8720,16029,8420,8620,8728,8730,8623,11296,8584,8725,8666,15847,8849,8636,8852,11323,8901,8855,8917"
100192,"11242,6740,6735,11258,11256,11218,6738,8201,7232,11248,11222,11226,11243,7235,7226,11239,11251,11254,11227,11255,7228,11253,11250,11247,7234,7229,8202,25046,11219,7237"
100198,"13527,12933,12946,12962,12936,13529,13535,12938,12940,12968,12961,12963,12941,13536,12924,12929,13534,12956,12969,12959,12942,12934,12930,12955,12967,13537,12954,12949,13533,13538"
100015,"8170,8510,5823,20208,23449,5816,19574,5746,5755,5834,19511,5840,5826,8649,5770,19570,19531,19750,8175,5753,8643,19513,23416,19736,5843,19533,19587,18952,19743,8173"
100026,"1218,1180,1196,1255,1227,1192,1164,1208,1223,1195,1170,1222,1188,1167,1199,1219,1201,12328,1179,1220,1207,1226,1169,1163,1191,1827,1175,1825,1200,1173"
100072,"898,899,900,1842,690,691,692,719,720,721,722,723,698,699,700,701,702,1888,1889,1890,716,717,718,12769,1785,1786,1788"
100127,"5442,24913,6213,10445,4959,4889,9318,9687,10443,24915,4954,24912,5438,4960,5439,6211,10467,5449,6219,10508,10462,6286"
100204,"12185,12095,12097,12154,12142,12101,12232,12113,12104,12247,12090,12110,12151,12148,12140,12240,12136,12207,12125,12218,12250,12133,12205,12256,12222,12223,12216,12259,12252,12251"
100210,"11203,7876,7953,7875,7207,7954,7215,7206,9124,7210,7957,7879,7192,7874,7205,7960,9137,11207,7955,7193,9128,11210,9138,7962,9140"
