key,sa,vspt,coe
deu_de#reading#0#1,0,0.849,0.137
ell_gr#listening#1#0,0.295,0,0.348
eng_gb#writing#1#0,0.246,0,0.064
eng_gb#reading#1#0,0.399,0,0.232
isl_is#listening#1#1,0.156,0.807,0.041
nld_nl#writing#1#1,0.159,0.549,-0.157
nor_no#writing#1#1,0.159,0.549,-0.157
fin_fi#listening#0#1,0,0.877,0.145
ita_it#listening#1#0,0.295,0,0.348
swe_se#writing#1#0,0.246,0,0.064
isl_is#writing#1#0,0.246,0,0.064
ell_gr#writing#1#0,0.246,0,0.064
swe_se#structures#0#1,0,0.792,0.423
nld_nl#reading#0#1,0,0.849,0.137
nld_nl#vocabulary#0#1,0,0.951,0.036
fin_fi#listening#1#0,0.295,0,0.348
por_pt#vocabulary#0#1,0,0.951,0.036
por_pt#structures#0#1,0,0.792,0.423
spa_es#reading#1#0,0.399,0,0.232
swe_se#listening#1#0,0.295,0,0.348
por_pt#reading#1#1,0.298,0.79,-0.121
nor_no#reading#0#1,0,0.849,0.137
swe_se#reading#0#1,0,0.849,0.137
fra_fr#vocabulary#0#1,0,0.951,0.036
isl_is#reading#1#0,0.399,0,0.232
por_pt#writing#1#1,0.159,0.549,-0.157
spa_es#reading#0#1,0,0.849,0.137
ita_it#reading#1#0,0.399,0,0.232
gle_ie#writing#1#1,0.159,0.549,-0.157
swe_se#reading#1#0,0.399,0,0.232
fra_fr#reading#1#0,0.399,0,0.232
eng_gb#writing#1#1,0.159,0.549,-0.157
ita_it#vocabulary#0#1,0,0.951,0.036
por_pt#listening#0#1,0,0.877,0.145
ita_it#listening#0#1,0,0.877,0.145
nor_no#writing#1#0,0.246,0,0.064
dan_dk#listening#1#0,0.295,0,0.348
isl_is#writing#1#1,0.159,0.549,-0.157
dan_dk#vocabulary#0#1,0,0.951,0.036
eng_gb#writing#0#1,0,0.825,-0.193
dan_dk#reading#1#0,0.399,0,0.232
nld_nl#reading#1#0,0.399,0,0.232
dan_dk#writing#1#1,0.159,0.549,-0.157
ita_it#reading#1#1,0.298,0.79,-0.121
dan_dk#writing#0#1,0,0.825,-0.193
nor_no#structures#0#1,0,0.792,0.423
isl_is#vocabulary#0#1,0,0.951,0.036
por_pt#listening#1#1,0.156,0.807,0.041
swe_se#reading#1#1,0.298,0.79,-0.121
ell_gr#listening#1#1,0.156,0.807,0.041
fra_fr#writing#0#1,0,0.825,-0.193
nld_nl#listening#0#1,0,0.877,0.145
spa_es#vocabulary#0#1,0,0.951,0.036
dan_dk#listening#0#1,0,0.877,0.145
spa_es#writing#1#0,0.246,0,0.064
fra_fr#listening#1#1,0.156,0.807,0.041
por_pt#reading#0#1,0,0.849,0.137
spa_es#writing#0#1,0,0.825,-0.193
nor_no#reading#1#0,0.399,0,0.232
gle_ie#reading#1#0,0.399,0,0.232
por_pt#reading#1#0,0.399,0,0.232
ell_gr#reading#1#0,0.399,0,0.232
fin_fi#reading#1#0,0.399,0,0.232
eng_gb#listening#1#1,0.156,0.807,0.041
fin_fi#vocabulary#0#1,0,0.951,0.036
isl_is#listening#1#0,0.295,0,0.348
spa_es#listening#1#0,0.295,0,0.348
deu_de#writing#1#0,0.246,0,0.064
nor_no#listening#1#0,0.295,0,0.348
fin_fi#reading#1#1,0.298,0.79,-0.121
dan_dk#reading#0#1,0,0.849,0.137
deu_de#listening#0#1,0,0.877,0.145
eng_gb#structures#0#1,0,0.792,0.423
ita_it#writing#0#1,0,0.825,-0.193
isl_is#reading#1#1,0.298,0.79,-0.121
ita_it#writing#1#1,0.159,0.549,-0.157
ell_gr#writing#0#1,0,0.825,-0.193
spa_es#reading#1#1,0.298,0.79,-0.121
spa_es#listening#1#1,0.156,0.807,0.041
fra_fr#reading#1#1,0.298,0.79,-0.121
ell_gr#reading#1#1,0.298,0.79,-0.121
fra_fr#structures#0#1,0,0.792,0.423
gle_ie#structures#0#1,0,0.792,0.423
swe_se#writing#0#1,0,0.825,-0.193
gle_ie#reading#0#1,0,0.849,0.137
ell_gr#structures#0#1,0,0.792,0.423
fra_fr#writing#1#0,0.246,0,0.064
nld_nl#listening#1#0,0.295,0,0.348
gle_ie#reading#1#1,0.298,0.79,-0.121
fin_fi#writing#0#1,0,0.825,-0.193
spa_es#listening#0#1,0,0.877,0.145
gle_ie#writing#0#1,0,0.825,-0.193
gle_ie#listening#0#1,0,0.877,0.145
isl_is#writing#0#1,0,0.825,-0.193
isl_is#listening#0#1,0,0.877,0.145
isl_is#reading#0#1,0,0.849,0.137
fra_fr#listening#0#1,0,0.877,0.145
fra_fr#reading#0#1,0,0.849,0.137
nld_nl#writing#1#0,0.246,0,0.064
gle_ie#listening#1#0,0.295,0,0.348
ita_it#writing#1#0,0.246,0,0.064
dan_dk#reading#1#1,0.298,0.79,-0.121
swe_se#writing#1#1,0.159,0.549,-0.157
dan_dk#listening#1#1,0.156,0.807,0.041
spa_es#writing#1#1,0.159,0.549,-0.157
eng_gb#reading#0#1,0,0.849,0.137
deu_de#reading#1#0,0.399,0,0.232
eng_gb#listening#1#0,0.295,0,0.348
por_pt#writing#1#0,0.246,0,0.064
ita_it#structures#0#1,0,0.792,0.423
swe_se#listening#0#1,0,0.877,0.145
gle_ie#listening#1#1,0.156,0.807,0.041
nor_no#listening#1#1,0.156,0.807,0.041
eng_gb#reading#1#1,0.298,0.79,-0.121
nor_no#listening#0#1,0,0.877,0.145
nld_nl#writing#0#1,0,0.825,-0.193
ita_it#listening#1#1,0.156,0.807,0.041
deu_de#writing#1#1,0.159,0.549,-0.157
dan_dk#structures#0#1,0,0.792,0.423
ita_it#reading#0#1,0,0.849,0.137
swe_se#vocabulary#0#1,0,0.951,0.036
dan_dk#writing#1#0,0.246,0,0.064
deu_de#listening#1#0,0.295,0,0.348
nld_nl#listening#1#1,0.156,0.807,0.041
nor_no#vocabulary#0#1,0,0.951,0.036
nor_no#writing#0#1,0,0.825,-0.193
por_pt#listening#1#0,0.295,0,0.348
swe_se#listening#1#1,0.156,0.807,0.041
fin_fi#listening#1#1,0.156,0.807,0.041
fin_fi#writing#1#1,0.159,0.549,-0.157
fra_fr#writing#1#1,0.159,0.549,-0.157
deu_de#listening#1#1,0.156,0.807,0.041
nld_nl#reading#1#1,0.298,0.79,-0.121
isl_is#structures#0#1,0,0.792,0.423
ell_gr#vocabulary#0#1,0,0.951,0.036
fin_fi#reading#0#1,0,0.849,0.137
spa_es#structures#0#1,0,0.792,0.423
deu_de#reading#1#1,0.298,0.79,-0.121
ell_gr#writing#1#1,0.159,0.549,-0.157
deu_de#structures#0#1,0,0.792,0.423
deu_de#vocabulary#0#1,0,0.951,0.036
por_pt#writing#0#1,0,0.825,-0.193
