skill,rsc,ppe,se,grade
listening,0,-2.737,1.145,1
listening,1,-2.219,0.686,1
listening,34,0.876,0.256,4
listening,35,0.939,0.26,4
listening,2,-1.924,0.543,1
listening,3,-1.705,0.469,1
listening,32,0.756,0.25,4
listening,33,0.815,0.253,4
listening,4,-1.527,0.422,1
listening,5,-1.375,0.389,1
listening,38,1.146,0.281,4
listening,39,1.223,0.291,4
listening,6,-1.243,0.365,1
listening,7,-1.126,0.347,1
listening,36,1.004,0.266,4
listening,37,1.073,0.273,4
listening,8,-1.018,0.333,1
listening,9,-0.917,0.322,1
listening,42,1.501,0.336,5
listening,43,1.617,0.357,5
listening,10,-0.821,0.314,1
listening,11,-0.729,0.307,2
listening,40,1.307,0.303,5
listening,41,1.399,0.318,5
listening,12,-0.639,0.302,2
listening,13,-0.55,0.297,2
listening,46,2.06,0.471,6
listening,47,2.257,0.567,6
listening,14,-0.463,0.293,2
listening,15,-0.378,0.288,2
listening,44,1.748,0.384,6
listening,45,1.895,0.418,6
listening,16,-0.295,0.284,3
listening,17,-0.215,0.279,3
listening,18,-0.138,0.275,3
listening,19,-0.064,0.27,3
listening,48,2.538,0.815,6
listening,20,0.006,0.266,3
listening,21,0.074,0.263,3
listening,22,0.141,0.26,3
listening,23,0.206,0.257,3
listening,24,0.27,0.255,3
listening,25,0.334,0.253,3
listening,26,0.397,0.251,3
listening,27,0.459,0.25,3
listening,28,0.52,0.249,4
listening,29,0.579,0.248,4
listening,30,0.638,0.248,4
listening,31,0.697,0.249,4
reading,0,-2.414,0.967,1
reading,1,-1.936,0.578,1
reading,34,0.347,0.257,3
reading,35,0.416,0.258,4
reading,2,-1.712,0.435,1
reading,3,-1.587,0.364,1
reading,32,0.211,0.255,3
reading,33,0.279,0.257,3
reading,4,-1.496,0.322,1
reading,5,-1.422,0.295,1
reading,38,0.62,0.254,4
reading,39,0.686,0.252,4
reading,6,-1.357,0.277,1
reading,7,-1.296,0.265,1
reading,36,0.485,0.257,4
reading,37,0.553,0.256,4
reading,8,-1.238,0.256,1
reading,9,-1.182,0.25,1
reading,42,0.871,0.245,4
reading,43,0.929,0.243,5
reading,10,-1.126,0.246,1
reading,11,-1.071,0.243,1
reading,40,0.749,0.25,4
reading,41,0.811,0.247,4
reading,12,-1.017,0.242,1
reading,13,-0.963,0.241,2
reading,46,1.093,0.243,5
reading,47,1.147,0.244,5
reading,14,-0.908,0.241,2
reading,15,-0.854,0.243,2
reading,44,0.985,0.242,5
reading,45,1.039,0.242,5
reading,16,-0.797,0.245,2
reading,17,-0.737,0.247,2
reading,50,1.313,0.261,5
reading,51,1.373,0.272,5
reading,18,-0.674,0.25,2
reading,19,-0.608,0.252,2
reading,48,1.201,0.248,5
reading,49,1.256,0.253,5
reading,20,-0.54,0.253,2
reading,21,-0.471,0.253,2
reading,54,1.594,0.341,6
reading,55,1.697,0.393,6
reading,22,-0.405,0.252,2
reading,23,-0.342,0.251,2
reading,52,1.438,0.287,5
reading,53,1.511,0.309,6
reading,24,-0.28,0.249,2
reading,25,-0.22,0.248,2
reading,26,-0.161,0.248,2
reading,27,-0.102,0.248,2
reading,56,1.839,0.488,6
reading,57,2.085,0.727,6
reading,28,-0.042,0.249,2
reading,29,0.019,0.251,2
reading,30,0.081,0.252,3
reading,31,0.146,0.254,3
writing,0,-2.936,1.05,1
writing,1,-2.495,0.7,1
writing,34,0.573,0.249,4
writing,35,0.634,0.255,4
writing,2,-2.18,0.587,1
writing,3,-1.904,0.531,1
writing,32,0.46,0.239,4
writing,33,0.515,0.243,4
writing,4,-1.642,0.491,1
writing,5,-1.402,0.452,2
writing,38,0.842,0.28,4
writing,39,0.921,0.291,4
writing,6,-1.201,0.412,2
writing,7,-1.042,0.375,2
writing,36,0.699,0.262,4
writing,37,0.768,0.271,4
writing,8,-0.915,0.344,2
writing,9,-0.81,0.32,2
writing,42,1.202,0.336,5
writing,43,1.316,0.358,5
writing,10,-0.72,0.3,2
writing,11,-0.64,0.284,2
writing,40,1.006,0.304,4
writing,41,1.099,0.318,5
writing,12,-0.568,0.271,2
writing,13,-0.502,0.26,2
writing,46,1.756,0.489,6
writing,47,1.97,0.615,6
writing,14,-0.441,0.252,2
writing,15,-0.383,0.244,2
writing,44,1.444,0.386,5
writing,45,1.589,0.425,5
writing,16,-0.329,0.238,3
writing,17,-0.277,0.234,3
writing,18,-0.226,0.23,3
writing,19,-0.177,0.227,3
writing,48,2.344,1.026,6
writing,20,-0.129,0.225,3
writing,21,-0.082,0.223,3
writing,22,-0.035,0.222,3
writing,23,0.012,0.222,3
writing,24,0.06,0.222,3
writing,25,0.107,0.223,3
writing,26,0.155,0.224,3
writing,27,0.204,0.225,3
writing,28,0.253,0.227,3
writing,29,0.303,0.229,3
writing,30,0.354,0.231,3
writing,31,0.406,0.235,4
