skill,wid,weight
listening,02,2
listening,03,2
listening,04,3
listening,05,2
listening,07,3
listening,09,2
listening,14,2
listening,15,1
listening,16,4
listening,22,3
listening,24,4
listening,27,3
listening,28,3
listening,29,3
listening,31,3
listening,35,3
listening,40,3
listening,41,2
reading,01,2
reading,03,2
reading,05,5
reading,07,3
reading,11,5
reading,17,3
reading,21,3
reading,22,2
reading,23,4
reading,27,3
reading,28,3
reading,30,3
reading,31,3
reading,32,4
reading,33,3
reading,34,3
reading,35,4
reading,36,2
writing,04,2
writing,05,2
writing,07,2
writing,12,2
writing,13,3
writing,14,3
writing,17,2
writing,18,3
writing,19,3
writing,21,3
writing,22,4
writing,23,4
writing,24,3
writing,27,3
writing,28,3
writing,30,3
writing,33,2
writing,35,1
