test_language,level,low,high
da-DK,V6,901,1000
da-DK,V5,601,900
da-DK,V4,401,600
da-DK,V3,201,400
da-DK,V2,101,200
da-DK,V1,0,100
sv-SE,V6,901,1000
sv-SE,V5,601,900
sv-SE,V4,401,600
sv-SE,V3,201,400
sv-SE,V2,101,200
sv-SE,V1,0,100
fr-FR,V6,901,1000
fr-FR,V5,601,900
fr-FR,V4,401,600
fr-FR,V3,201,400
fr-FR,V2,101,200
fr-FR,V1,0,100
is-IS,V6,901,1000
is-IS,V5,601,900
is-IS,V4,401,600
is-IS,V3,201,400
is-IS,V2,101,200
is-IS,V1,0,100
de-DE,V6,901,1000
de-DE,V5,601,900
de-DE,V4,401,600
de-DE,V3,201,400
de-DE,V2,101,200
de-DE,V1,0,100
ga-IE,V6,901,1000
ga-IE,V5,601,900
ga-IE,V4,401,600
ga-IE,V3,201,400
ga-IE,V2,101,200
ga-IE,V1,0,100
it-IT,V6,901,1000
it-IT,V5,601,900
it-IT,V4,401,600
it-IT,V3,201,400
it-IT,V2,101,200
it-IT,V1,0,100
no-NO,V6,901,1000
no-NO,V5,601,900
no-NO,V4,401,600
no-NO,V3,201,400
no-NO,V2,101,200
no-NO,V1,0,100
pt-PT,V6,901,1000
pt-PT,V5,601,900
pt-PT,V4,401,600
pt-PT,V3,201,400
pt-PT,V2,101,200
pt-PT,V1,0,100
en-GB,V6,901,1000
en-GB,V5,601,900
en-GB,V4,401,600
en-GB,V3,201,400
en-GB,V2,101,200
en-GB,V1,0,100
el-GR,V6,901,1000
el-GR,V5,601,900
el-GR,V4,401,600
el-GR,V3,201,400
el-GR,V2,101,200
el-GR,V1,0,100
fi-FI,V6,901,1000
fi-FI,V5,601,900
fi-FI,V4,401,600
fi-FI,V3,201,400
fi-FI,V2,101,200
fi-FI,V1,0,100
es-ES,V6,901,1000
es-ES,V5,601,900
es-ES,V4,401,600
es-ES,V3,201,400
es-ES,V2,101,200
es-ES,V1,0,100
nl-NL,V6,901,1000
nl-NL,V5,601,900
nl-NL,V4,401,600
nl-NL,V3,201,400
nl-NL,V2,101,200
nl-NL,V1,0,100
se,V5,601,900
swe_se,V4,401,600
swe_se,V3,201,400
swe_se,V2,101,200
swe_se,V1,0,100
