test_language,word_id,word,valid,weight
eng_gb,000053,to campaign,1,1
eng_gb,000006,to decite,0,0
eng_gb,000064,to review,1,3
eng_gb,000036,to futt,0,1
eng_gb,000039,to megalize,0,0
eng_gb,000100,to celebrate,1,5
eng_gb,000027,to bourble,0,0
eng_gb,000038,to markle,0,0
eng_gb,000067,to demolish,1,2
eng_gb,000059,to fear,1,4
eng_gb,000142,to abolish,1,3
eng_gb,000134,to administer,1,2
eng_gb,000047,to preyout,0,1
eng_gb,000088,to root,1,1
eng_gb,000140,to erode,1,2
eng_gb,000144,to study,1,3
eng_gb,000130,to distinguish,1,5
eng_gb,000017,to fabulation,0,2
eng_gb,000049,to savedown,0,1
eng_gb,000005,to outlate,0,1
eng_gb,000124,to join,1,4
eng_gb,000133,to compile,1,2
eng_gb,000071,to sink,1,3
eng_gb,000103,to settle,1,5
eng_gb,000122,to motivate,1,5
eng_gb,000086,to encompass,1,0
eng_gb,000008,to driggle,0,0
eng_gb,000108,to witness,1,3
eng_gb,000020,to chariover,0,2
eng_gb,000132,to mention,1,6
eng_gb,000136,to emerge,1,4
eng_gb,000042,to strang,0,0
eng_gb,000114,to struggle,1,6
eng_gb,000025,to prinkle,0,0
eng_gb,000111,to permit,1,5
eng_gb,000138,to yell,1,4
eng_gb,000030,to oldenate,0,1
eng_gb,000149,to promise,1,0
eng_gb,000126,to complicate,1,2
eng_gb,000022,to skey,0,1
eng_gb,000089,to violate,1,3
eng_gb,000135,to squeeze,1,5
eng_gb,000115,to unleash,1,0
eng_gb,000015,to digame,0,1
eng_gb,000099,to congratulate,1,3
eng_gb,000048,to honch,0,0
eng_gb,000011,to numbelate,0,1
eng_gb,000001,to keepsick,0,2
eng_gb,000129,to name,1,4
eng_gb,000110,to colour,1,2
eng_gb,000093,to hesitate,1,5
eng_gb,000080,to organize,1,4
eng_gb,000013,to wordle,0,0
eng_gb,000150,to complement,1,0
eng_gb,000041,to mayto,0,3
eng_gb,000107,to box,1,1
eng_gb,000072,to repair,1,4
eng_gb,000112,to type,1,3
eng_gb,000102,to authorise,1,4
eng_gb,000106,to reform,1,0
eng_gb,000104,to wait,1,4
eng_gb,000063,to commission,1,0
eng_gb,000057,to quote,1,5
